38.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
18:35:46.0 (86245)|USER_INFO|[EXTERNAL]|0056F000006PtYl|gwadmin@gw.jp.kddi.gwdev01|日本標準時|GMT+09:00
18:35:46.0 (143611)|EXECUTION_STARTED
18:35:46.0 (149719)|CODE_UNIT_STARTED|[EXTERNAL]|066N0000000M59u|VF: /apex/saReport
18:35:46.0 (318677)|VF_DESERIALIZE_VIEWSTATE_BEGIN|066N0000000M59u
18:35:46.0 (5352908)|HEAP_ALLOCATE|[72]|Bytes:3
18:35:46.0 (5423081)|HEAP_ALLOCATE|[77]|Bytes:152
18:35:46.0 (5440820)|HEAP_ALLOCATE|[342]|Bytes:408
18:35:46.0 (5453214)|HEAP_ALLOCATE|[355]|Bytes:408
18:35:46.0 (5464181)|HEAP_ALLOCATE|[467]|Bytes:48
18:35:46.0 (5492416)|HEAP_ALLOCATE|[139]|Bytes:6
18:35:46.0 (7209336)|HEAP_ALLOCATE|[50]|Bytes:5
18:35:46.0 (7251684)|HEAP_ALLOCATE|[56]|Bytes:5
18:35:46.0 (7268011)|HEAP_ALLOCATE|[64]|Bytes:7
18:35:46.0 (10227994)|VARIABLE_SCOPE_BEGIN|[30]|saReportCtrl.ERROR_CATEGORY_MISSING|String|false|true
18:35:46.0 (10242100)|VARIABLE_SCOPE_BEGIN|[31]|saReportCtrl.ERROR_COMMENT_MISSING|String|false|true
18:35:46.0 (10249885)|VARIABLE_SCOPE_BEGIN|[29]|saReportCtrl.ERROR_TITLE_MISSING|String|false|true
18:35:46.0 (10257868)|VARIABLE_SCOPE_BEGIN|[32]|saReportCtrl.MESSAGE_ASK_FOR_VALIDATION|String|false|true
18:35:46.0 (10282303)|VARIABLE_SCOPE_BEGIN|[33]|saReportCtrl.MESSAGE_PUBLISHED|String|false|true
18:35:46.0 (10291169)|VARIABLE_SCOPE_BEGIN|[27]|saReportCtrl.SA_REPORT_STATE_NONE_LABEL|String|false|true
18:35:46.0 (10299740)|VARIABLE_SCOPE_BEGIN|[26]|saReportCtrl.SA_REPORT_STATE_NONE_VALUE|String|false|true
18:35:46.0 (10307946)|VARIABLE_SCOPE_BEGIN|[8]|saReportCtrl.SEARCH_COUNT_AVERAGE_LABEL|String|false|true
18:35:46.0 (10316542)|VARIABLE_SCOPE_BEGIN|[11]|saReportCtrl.SEARCH_COUNT_AVERAGE_VALUE|String|false|true
